captured_date,market,market_name,rank,rank_change,track_name,artist_names,artist_spotify_ids,track_spotify_id,image_url
2026-02-03,kr,South Korea,1,–,Who,Jimin,1oSPZhvZMIrWW5I41kPkkY,7tI8dRuH2Yc6RuoTjxo4dU,https://i.scdn.co/image/ab67616d00001e02f02c451189a709b9a952aaec
2026-02-03,kr,South Korea,2,–,Landing in Love,HANRORO,5wVJpXzuKV6Xj7Yhsf2uYx,3WvM2dIR9iIxMGNMP7WsNw,https://i.scdn.co/image/ab67616d00001e02041c2df6c6417db26f4133d4
2026-02-03,kr,South Korea,3,–,404 (New Era),KiiiKiii,63sat2XSMKdwKfqspmYQKP,24rDDbSlFY9OHrlJb48CRh,https://i.scdn.co/image/ab67616d00001e020cc65398388cbc486fa4fff7
2026-02-03,kr,South Korea,4,–,0+0,HANRORO,5wVJpXzuKV6Xj7Yhsf2uYx,3sOAwRg5esaxDcWnUigWPv,https://i.scdn.co/image/ab67616d00001e02afda752d5db59e06d3f86e3b
2026-02-03,kr,South Korea,5,–,My whole world,"Car, the garden",7c1HgFDe8ogy5NOZ1ANCJQ,55pCe0UgAeaeWKKSQqdiWh,https://i.scdn.co/image/ab67616d00001e02572c3481841c6f020cfa80cc
2026-02-03,kr,South Korea,6,–,Love Love Love,Epik High,5snNHNlYT2UrtZo5HCJkiw,7hlEhmg5h9XuFtaGfgvqjF,https://i.scdn.co/image/ab67616d00001e024c71e80a8f580184ba910222
2026-02-03,kr,South Korea,7,1,Don’t Say You Love Me,Jin,5vV3bFXnN6D6N3Nj4xRvaV,27xkOIER6uDLKALIelHylZ,https://i.scdn.co/image/ab67616d00001e0289228504f700641956e29f5d
2026-02-03,kr,South Korea,8,5,Let Me Love My Youth,HANRORO,5wVJpXzuKV6Xj7Yhsf2uYx,4qdBPJta3BVPXCS0wJZ6yO,https://i.scdn.co/image/ab67616d00001e0226a40856fec5db78306ba3c0
2026-02-03,kr,South Korea,9,1,Seven (feat. Latto) (Explicit Ver.),Jung Kook; Latto,6HaGTQPmzraVmaVxvz6EUc; 3MdXrJWsbVzdn6fe5JYkSQ,2HRgqmZQC0MC7GeNuDIXHN,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316
2026-02-03,kr,South Korea,10,1,IRIS OUT,Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,59hVbgr8rfYkDbHfr8RcGI,https://i.scdn.co/image/ab67616d00001e026d1d4e875e2424cdd07f3232
2026-02-03,kr,South Korea,11,4,Mono (feat. skaiwater),i-dle; skaiwater,2AfmfGFbe0A0WsTYm0SDTx; 1URVdcNYXigvk6Dj0fHYOM,3VxmXJ4FdtbWI27p3Gx4Wh,https://i.scdn.co/image/ab67616d00001e025dc3f311b1f454442d77bc64
2026-02-03,kr,South Korea,12,–,FOCUS,Hearts2Hearts,1ZLU77nRzQIaP23mVSYpCQ,6jYiHr12NVKLzn0X7K8aSK,https://i.scdn.co/image/ab67616d00001e027c887828b1a67202f0219857
2026-02-03,kr,South Korea,13,2,NOT CUTE ANYMORE,ILLIT,36cgvBn0aadzOijnjjwqMN,1k0JAiH11gHL9dc5dfQjQr,https://i.scdn.co/image/ab67616d00001e023d09075f6c7fabe9a7234cb3
