captured_date,market,market_name,rank,rank_change,track_name,artist_names,artist_spotify_ids,track_spotify_id,image_url
2026-07-29,vn,Vietnam,21,5,Nếu Như Ta Chẳng Còn (feat. A$AP Ướt Mi),RPT MCK; A$AP Ướt Mi,1zSv9qZANOWB4HRE8sxeTL; 0b27MQbpjE65gcXwgIN2jw,6BnPsHZv1jPbPAsQsm0s5b,https://i.scdn.co/image/ab67616d00001e02a2907cc0804151b77ca8667d
2026-07-29,vn,Vietnam,22,38,một đời,14 Casper; Bon Nghiêm; buitruonglinh,0zo8kCJVktn7oPnzpkbC2p; 6hnfLIkvDl6pjlAe1YRGXY; 7Cp2hGcriAaDUAWpXnSEwm,4gaxEUZE4z9pJAVTSFwgQI,https://i.scdn.co/image/ab67616d00001e0270cb943c9a67b7eda3414366
2026-07-29,vn,Vietnam,23,3,Chuyện Đôi Ta (feat. Muộii),Emcee L (Da LAB); Da LAB; Muộii (Starry Night),4bPYvyUn1mWwUwIW57oST2; 6zUWZmyi5MLOEynQ5wCI5f; 1Tdy7LZnrufTyuEbgDi1D8,4CUvVaAYuXtvYURLFz7EIL,https://i.scdn.co/image/ab67616d00001e02a400211178f6d590d875f2da
2026-07-29,vn,Vietnam,24,1,Less than a Lover,JENNIE,250b0Wlc5Vk0CoUsaCY84M,19UnXjpLshSLobPspdyxlD,https://i.scdn.co/image/ab67616d00001e021568796289f10031724bc780
2026-07-29,vn,Vietnam,25,36,Thằng Điên,JustaTee; Phương Ly,3rjcQ5VIWCN4q7UFetzdeO; 5Kh0ta0UY4uJ4g2CIdq9V9,27Z9T0mSWHYWSj9SNOGvyt,https://i.scdn.co/image/ab67616d00001e0202dc41ad81138aa3c53d2b98
2026-07-29,vn,Vietnam,26,4,Vùng An Toàn,B Ray; V#,1WvNgEoB66jmHodcj15Zi9; 3XevJv2rTKu5WYtD0LW6om,6Zoi4ue74UdUeYmHXItXnf,https://i.scdn.co/image/ab67616d00001e024e1566cecfa3c836f48f80f6
2026-07-29,vn,Vietnam,27,4,"50 CUỘC GỌI NHỠ (feat. CoolKid, Quang Hùng MasterD, Jaysonlei & CODYNAMVO)","TINH HÀ ""SAY HI""; CoolKid; Quang Hùng MasterD; Jaysonlei; CODYNAMVO",2dLayz7AThHVFmsIbsvTKh; 1Qia4CTwh6x0CZbD0079zi; 0slOzRzTQb1RBBVJbvRITP; 5BQgZQPuGImYR5xgbytUKg; 7MtgS1BXZAtslgSSTpdikk,4HjBeRYorM50d1rCrl853a,https://i.scdn.co/image/ab67616d00001e02c823e4437a4a00db2855f94b
2026-07-29,vn,Vietnam,28,9,Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),Emcee L (Da LAB); Da LAB; Badbies,4bPYvyUn1mWwUwIW57oST2; 6zUWZmyi5MLOEynQ5wCI5f; 2ZjO6APYelcHcLd2pWMx8x,5BTzf3doGTigDIYUFtbkI9,https://i.scdn.co/image/ab67616d00001e02d6ebd978c7c460eaf3f75f85
2026-07-29,vn,Vietnam,29,17,id 072019,W/N,6NF9Oa4ThQWCj6mogFSrVD,1o6cYDMHvKOfizi4d9Lqxr,https://i.scdn.co/image/ab67616d00001e02dc031e2429585e32b4ccb69b
2026-07-29,vn,Vietnam,30,11,Đã Lỡ Yêu Em Nhiều,JustaTee,3rjcQ5VIWCN4q7UFetzdeO,3J3nv18iIrOhca1ZWNeuyW,https://i.scdn.co/image/ab67616d00001e02636bd3e9f31e1ea1e7bb389e
2026-07-29,vn,Vietnam,31,7,"ex's hate me, Pt.2",AMEE,2aQnC3DbZB9GbauvhAw7ve,5tdz7T4hTxA1ipJMBe24uX,https://i.scdn.co/image/ab67616d00001e02819219f4ea0ad1e11cb78411
2026-07-29,vn,Vietnam,32,8,Không Thể Say,HIEUTHUHAI,5HZtdKfC4xU0wvhEyYDWiY,1K0HQ30Wc11okzlcnFA7Ub,https://i.scdn.co/image/ab67616d00001e02c006b0181a3846c1c63e178f
2026-07-29,vn,Vietnam,33,1,chẳng phải tình đầu sao đau đến thế,MIN; Dangrangto; antransax,0IdAjS2LRieBR3gzoazdAw; 5xY6E5PMZNtz9jDvxTRiGI; 3E3VtUZsU5Ci439SjOdCd0,3T7XHOdRcyhKU3QCB6kZG3,https://i.scdn.co/image/ab67616d00001e02e1b3669f2b8eba5bb7b10b3b
2026-07-29,vn,Vietnam,34,6,"IDNAT (IM ĐỢI NGƯỜI ANH THƯƠNG) (feat. Wren Evans, IVAN, CAPTAIN BOY & Thể Thiên)","TINH HÀ ""SAY HI""; Wren Evans; IVAN; CAPTAIN BOY; Thể Thiên",2dLayz7AThHVFmsIbsvTKh; 5M3ffmRiOX9Q8Y4jNeR5wu; 0BaA7hESJdlOMitd8QM7jY; 1pKPrziZw7C4GvOlBIXqP5; 7Icw7iVmCgkKkfRrYvlKZU,5KGa9rEkL3qUNFuIhNo90e,https://i.scdn.co/image/ab67616d00001e02c823e4437a4a00db2855f94b
2026-07-29,vn,Vietnam,35,4,"MỘNG DUYÊN (feat. Quang Hùng MasterD, Song Luân, JSOL, Sơn.K & Emil Vergo)","TINH HÀ ""SAY HI""; Quang Hùng MasterD; Song Luân; JSOL; Sơn.K; Emil Vergo",2dLayz7AThHVFmsIbsvTKh; 0slOzRzTQb1RBBVJbvRITP; 0iqum9KAHh3LkgDhuqvTxM; 6EybZ5zwPNEtEngfrEMevN; 4APAeuMjgVjYGMWVDehJrc; 3Vj8qzsjQaQoZVFrlGsLDF,7DKTqxctuNjAUsU2a8jVv2,https://i.scdn.co/image/ab67616d00001e02ecbec3da3fc21b7b720f652e
2026-07-29,vn,Vietnam,36,19,Buông,Hngle,7kBsX15IDun9YxuVmKCMYJ,2ZBi1KpCR0grEWRNgySqwg,https://i.scdn.co/image/ab67616d00001e02a0f799b6e0d1e4edadc98a3a
2026-07-29,vn,Vietnam,37,10,Nắng có mang em về,Shartnuss; Phankeo; Tr.D,2BoU3GzyaG397l5ci1twa9; 2rv0GwxSEWKhz54nLluNhK; 6jiITlNS4hrm3dq90ZDftJ,6nInHlewtrNKguNKlXt0Ur,https://i.scdn.co/image/ab67616d00001e029e8842387d1017cf5581c4cc
2026-07-29,vn,Vietnam,38,4,bình yên,Vũ.; Binz,57g2v7gJZepcwsuwssIfZs; 2nSO7JYDbJrYbJmP39qUzj,41DlPJXKTCypXdf2eSqa03,https://i.scdn.co/image/ab67616d00001e026f76636916ae7d5d930b1656
2026-07-29,vn,Vietnam,39,4,"CÔ ĐƠN ANH CŨNG VUI (feat. WEAN, KIMLONG, Xuân Định K.Y & DILLAN)","TINH HÀ ""SAY HI""; WEAN; KIMLONG; Xuân Định K.Y; DILLAN",2dLayz7AThHVFmsIbsvTKh; 30eFAXoU2kTjJPf2cq80B8; 26GpU9jkhwkZCyWBw6Prbf; 7G5AEkY5idIoHytk72GGyf; 1PR1ZkCybfd7U1TXvjglNq,3bmqUlen7AJeTh3EKCEPHe,https://i.scdn.co/image/ab67616d00001e02c823e4437a4a00db2855f94b
2026-07-29,vn,Vietnam,40,5,NỢ EM CẢ BẦU TRỜI,Anh Trai Vượt Ngàn Chông Gai; THỎ (Da LAB); Hoàng Tôn; Osad; Hồ Đông Quan; Hà An Huy,1NVwSzuIbuPJEGWhUQRlnv; 1PzGERJ55N7ZAgusauBAFN; 6xRZoWlE9twEkMC5NW4Z9f; 6sJBvMCAi9NuNCxI9RDYDW; 29odnaxmCx4mwOKL4mjEFL; 6cz81gA7fLpRK4qKeLsGIn,1GvilcxzSotX6bFHuwCJiz,https://i.scdn.co/image/ab67616d00001e022970a90780d33bc31f885bd3
2026-07-29,vn,Vietnam,41,1,toidaidot,GREY D,6d0dLenjy5CnR5ZMn2agiV,6uA9tUGo5WUhFPUR93F4jO,https://i.scdn.co/image/ab67616d00001e02232febcafd911a1addb774ae
2026-07-29,vn,Vietnam,42,2,Earrings,Malcolm Todd,7eKkW1zo5uzW8kUntiiBvz,0eAuGrXyGFYwur9ARUe7LJ,https://i.scdn.co/image/ab67616d00001e022c1f34ecc1929fb59908aad1
2026-07-29,vn,Vietnam,43,3,REDRED,CORTIS,1ebt9HnXdyYA6KgLXr1n4P,2fCwv2ppU5nTRTckomIGsd,https://i.scdn.co/image/ab67616d00001e0224ace1518851b27e9983f739
2026-07-29,vn,Vietnam,44,7,Từng Là Của Nhau,Bảo Anh; Táo,4fCHhderLwLacsIOIKgu3J; 23xCr75lKvnFvKi8ImHE7S,5KYv3kORBKUmVEoqbRRWxt,https://i.scdn.co/image/ab67616d00001e0267e926bba0c1032a8414fc8c
2026-07-29,vn,Vietnam,45,6,Dạo Này,Obito,0ZbgKh0FgPYeFP38nVaEGp,4MCP9l0QB9YN2LCkIy8mz4,https://i.scdn.co/image/ab67616d00001e025ec4c60ff0fc01236d2653b0
2026-07-29,vn,Vietnam,46,10,Wrong Times,Puppy; Dangrangto,2dC1IBU9NOD9xsQJ5RE7j7; 5xY6E5PMZNtz9jDvxTRiGI,6n2xOcqQrNOY0IfgATSwWs,https://i.scdn.co/image/ab67616d00001e02566178ff844ca2b57f959374
2026-07-29,vn,Vietnam,47,17,nếu lúc đó,tlinh; 2Pillz,3diftVOq7aEIebXKkC34oR; 0XtC2d9ZVigYA7iMy5YkW0,5ouxRyInSdRBQubu3KTd97,https://i.scdn.co/image/ab67616d00001e02484c56addba0e4dad8be48c9
2026-07-29,vn,Vietnam,48,19,2AM,JustaTee; BigDaddy,2ZN2K5xz3BDmfWYaA5dgce; 3Tehj7YghQc7zH0I1faGc6,3DLtPObflLQBodZN8qGODT,https://i.scdn.co/image/ab67616d00001e020b97a73cab024885e9819a9e
2026-07-29,vn,Vietnam,49,1,"XOAY VÒNG (feat. HURRYKNG, CONGB, JSOL & VƯƠNG BÌNH)","TINH HÀ ""SAY HI""; HURRYKNG; CONGB; JSOL; VƯƠNG BÌNH",2dLayz7AThHVFmsIbsvTKh; 5ulyphh5uJrH4Gb1JpSMkV; 0n5wPsNoNc7w1bElyNzY4Z; 6EybZ5zwPNEtEngfrEMevN; 351mBX7BjjI2plbfozIzqb,2WLwTRDgtO4vwjZReiOdNB,https://i.scdn.co/image/ab67616d00001e02c823e4437a4a00db2855f94b
2026-07-29,vn,Vietnam,50,2,Ai Ngoài Anh,VSTRA; Tyronee,2aMo0CYbTieTisS0BlWc59; 04xz9bIBYTIqEpmRvQkfvu,6GM4ZOBDcDroldUxI8GZ2B,https://i.scdn.co/image/ab67616d00001e021e3ae4d328b0937f13e52c9f
2026-07-29,vn,Vietnam,51,6,Sài Gòn Hôm Nay Mưa,JSOL; Hoàng Duyên,6EybZ5zwPNEtEngfrEMevN; 3LbBKYlyMaATS8IIe7HJ0d,1xoadYaxtOp9gHDwgmPDuz,https://i.scdn.co/image/ab67616d00001e025436229d006af6580dfee6bc
2026-07-29,vn,Vietnam,52,17,Tình Mình Lạ Kì,Lil Zpoet,0T8DkuhhFhdWAMN0bdeLL7,3VkV6L37ub0rtuYQoawAqz,https://i.scdn.co/image/ab67616d00001e02921051f4f50a3d20946afb16
2026-07-29,vn,Vietnam,53,3,Có Em,Madihu; Low G,1OIYKbmhG0RxPXvVPNj3NN; 6TITnFVRcl0AcZ4syE7Toe,6Hs2xIgB8nzyGFDvVA8lFa,https://i.scdn.co/image/ab67616d00001e02556e7b75fb148c696f99a709
2026-07-29,vn,Vietnam,54,21,Nơi Này Có Anh,Sơn Tùng M-TP,5dfZ5uSmzR7VQK0udbAVpf,5rSAUmbOg4giDrM29vUyHe,https://i.scdn.co/image/ab67616d00001e02794744c57c9f35db88249842
