captured_date,market,market_name,rank,rank_change,track_name,artist_names,artist_spotify_ids,track_spotify_id,image_url
2026-03-14,vn,Vietnam,1,1,Seven (feat. Latto) (Explicit Ver.),Jung Kook; Latto,6HaGTQPmzraVmaVxvz6EUc; 3MdXrJWsbVzdn6fe5JYkSQ,2HRgqmZQC0MC7GeNuDIXHN,https://i.scdn.co/image/ab67616d00001e02741fd4807f442af3f7359316
2026-03-14,vn,Vietnam,2,1,Người Im Lặng Gặp Người Hay Nói,HIEUTHUHAI,5HZtdKfC4xU0wvhEyYDWiY,0wvpRHXXuImyrccNEPAXBo,https://i.scdn.co/image/ab67616d00001e02e5b8eb0e993da0cc1cd69a88
2026-03-14,vn,Vietnam,3,–,Không Buông,Hngle; Ari,7kBsX15IDun9YxuVmKCMYJ; 6cV92JqHZPWNfa7T4oAvR9,1ApIGNgp1azc0qB61x4GzG,https://i.scdn.co/image/ab67616d00001e028e2436033be92c06e4afee32
2026-03-14,vn,Vietnam,4,–,In Love,Low G; JustaTee,6TITnFVRcl0AcZ4syE7Toe; 3rjcQ5VIWCN4q7UFetzdeO,7uUuftbcr94tzGOCJSM25u,https://i.scdn.co/image/ab67616d00001e0223cf61113b6f831989e68725
2026-03-14,vn,Vietnam,5,–,Exit Sign,HIEUTHUHAI; marzuz,5HZtdKfC4xU0wvhEyYDWiY; 3y6Lfjkrdn5TgkbgDxbpvM,4nXrVH5xwN1w6TpmP7uu8n,https://i.scdn.co/image/ab67616d00001e02c006b0181a3846c1c63e178f
2026-03-14,vn,Vietnam,6,1,Ai Ngoài Anh,VSTRA; Tyronee,2aMo0CYbTieTisS0BlWc59; 04xz9bIBYTIqEpmRvQkfvu,6GM4ZOBDcDroldUxI8GZ2B,https://i.scdn.co/image/ab67616d00001e021e3ae4d328b0937f13e52c9f
2026-03-14,vn,Vietnam,7,2,Người Đầu Tiên,Juky San; buitruonglinh,51wGpVg4Z3lv1IjuZAQjXn; 7Cp2hGcriAaDUAWpXnSEwm,5DB1UwivnS4gmcZ27TiYnE,https://i.scdn.co/image/ab67616d00001e029b8f9d96ac892ebf1ad3cc56
2026-03-14,vn,Vietnam,8,2,Cảm Ơn Người Đã Thức Cùng Tôi,Phùng Khánh Linh; 30 Pictures,23Gbd21nBxC1kCtcG2Cd0C; 4fuBxSAuP6X7YxDZYVaLsz,0t8g66pWghsU8MphjUQIdg,https://i.scdn.co/image/ab67616d00001e02e292ad3d0b2c9439981132e5
2026-03-14,vn,Vietnam,9,19,Âm Thầm Bên Em,Sơn Tùng M-TP,5dfZ5uSmzR7VQK0udbAVpf,2wZAvkgiOE5tyrnqhB69KA,https://i.scdn.co/image/ab67616d00001e02794744c57c9f35db88249842
2026-03-14,vn,Vietnam,10,5,Nắng có mang em về,Shartnuss; Phankeo; Tr.D,2BoU3GzyaG397l5ci1twa9; 2rv0GwxSEWKhz54nLluNhK; 6jiITlNS4hrm3dq90ZDftJ,6kCU6i8iRrAAmJJ8Sj4JYC,https://i.scdn.co/image/ab67616d00001e029e8842387d1017cf5581c4cc
